iter	Passed	Remaining
0	0	36
1	0	31
2	0	29
3	1	26
4	1	25
5	1	25
6	1	24
7	2	23
8	2	23
9	2	23
10	2	22
11	3	22
12	3	22
13	3	21
14	3	21
15	4	21
16	4	21
17	4	21
18	4	20
19	5	20
20	5	20
21	5	19
22	5	19
23	6	19
24	6	19
25	6	18
26	6	18
27	7	18
28	7	18
29	7	17
30	7	17
31	8	17
32	8	16
33	8	16
34	8	16
35	9	16
36	9	15
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	14
43	11	14
44	11	14
45	11	13
46	12	13
47	12	13
48	12	13
49	13	13
50	13	13
51	13	12
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	15	11
59	16	10
60	16	10
61	16	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	9
67	18	8
68	18	8
69	19	8
70	19	7
71	19	7
72	20	7
73	20	7
74	20	6
75	20	6
76	21	6
77	21	6
78	21	5
79	21	5
80	22	5
81	22	4
82	22	4
83	23	4
84	23	4
85	23	3
86	23	3
87	24	3
88	24	3
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	25	1
95	25	1
96	26	0
97	26	0
98	26	0
99	26	0
