iter	Passed	Remaining
0	49	49776
1	50	25321
2	51	17159
3	52	13067
4	53	10607
5	54	8965
6	54	7790
7	55	6908
8	56	6225
9	57	5692
10	58	5269
11	59	4915
12	60	4608
13	61	4353
14	62	4129
15	63	3921
16	64	3741
17	65	3578
18	66	3431
19	67	3296
20	68	3173
21	68	3063
22	69	2963
23	70	2873
24	71	2792
25	72	2716
26	73	2645
27	74	2581
28	75	2520
29	76	2464
30	77	2412
31	78	2363
32	79	2321
33	80	2278
34	81	2237
35	82	2197
36	83	2162
37	84	2127
38	84	2093
39	85	2060
40	86	2030
41	87	2002
42	88	1977
43	89	1948
44	90	1922
45	91	1897
46	92	1869
47	92	1841
48	93	1815
49	94	1791
50	95	1768
51	95	1745
52	96	1724
53	97	1704
54	98	1686
55	98	1665
56	99	1644
57	99	1623
58	100	1604
59	101	1585
60	101	1567
61	102	1549
62	103	1533
63	103	1517
64	104	1501
65	104	1484
66	105	1467
67	105	1451
68	106	1435
69	106	1419
70	107	1404
71	107	1389
72	108	1375
73	108	1361
74	109	1347
75	109	1334
76	110	1321
77	110	1308
78	111	1295
79	111	1282
80	111	1269
81	112	1256
82	112	1241
83	112	1229
84	113	1217
85	113	1206
86	113	1194
87	114	1183
88	114	1172
89	114	1162
90	115	1151
91	115	1141
92	116	1131
93	116	1122
94	116	1112
95	117	1103
96	117	1094
97	117	1084
98	118	1074
99	118	1065
100	118	1055
101	118	1046
102	119	1037
103	119	1029
104	119	1020
105	120	1012
106	120	1004
107	120	995
108	120	987
109	121	980
110	121	972
111	121	965
112	121	957
113	122	950
114	122	943
115	122	936
116	123	928
117	123	921
118	123	915
119	123	908
120	124	902
121	124	894
122	124	888
123	124	882
124	125	875
125	125	869
126	125	862
127	125	857
128	126	851
129	126	845
130	126	839
131	126	834
132	127	828
133	127	822
134	127	817
135	127	811
136	128	806
137	128	801
138	128	796
139	128	791
140	129	786
141	129	780
142	129	775
143	129	770
144	129	766
145	130	761
146	130	756
147	130	752
148	130	747
149	131	743
150	131	738
151	131	734
152	131	730
153	132	726
154	132	721
155	132	717
156	132	713
157	133	712
158	133	708
159	134	704
160	134	699
161	134	696
162	134	692
163	135	688
164	135	685
165	135	682
166	136	678
167	136	674
168	136	671
169	136	667
170	137	664
171	137	660
172	137	657
173	137	654
174	138	651
175	138	647
176	138	644
177	138	641
178	139	638
179	139	634
180	139	631
181	139	628
182	140	625
183	140	622
184	140	620
185	141	617
186	141	615
187	141	612
188	142	609
189	142	606
190	142	603
191	142	601
192	143	598
193	143	595
194	143	593
195	143	590
196	144	587
197	144	585
198	144	582
199	144	579
200	145	577
201	145	575
202	145	572
203	146	570
204	146	568
205	146	565
206	147	564
207	147	562
208	148	560
209	148	557
210	148	555
211	148	553
212	149	551
213	149	548
214	149	546
215	149	544
216	150	541
217	150	539
218	150	537
219	150	535
220	151	533
221	151	531
222	151	529
223	152	527
224	152	525
225	152	523
226	152	521
227	153	518
228	153	516
229	153	514
230	154	512
231	154	510
232	154	508
233	154	506
234	155	504
235	155	503
236	155	501
237	155	499
238	156	497
239	156	495
240	156	493
241	156	491
242	157	489
243	157	488
244	157	486
245	158	484
246	158	482
247	158	480
248	158	478
249	159	477
250	159	475
251	159	473
252	159	471
253	160	469
254	160	468
255	160	466
256	160	464
257	161	463
258	161	461
259	161	459
260	161	458
261	162	456
262	162	455
263	162	453
264	162	451
265	163	450
266	163	449
267	163	447
268	164	446
269	164	444
270	164	443
271	165	441
272	165	440
273	165	438
274	165	437
275	166	435
276	166	434
277	166	432
278	166	431
279	167	429
280	167	428
281	167	426
282	167	425
283	168	423
284	168	422
285	168	421
286	168	419
287	169	418
288	169	416
289	169	415
290	169	413
291	170	412
292	170	411
293	170	409
294	170	408
295	171	406
296	171	405
297	171	404
298	171	402
299	172	401
300	172	400
301	172	399
302	172	397
303	173	396
304	173	395
305	173	393
306	173	392
307	174	391
308	174	389
309	174	388
310	174	387
311	175	386
312	175	384
313	175	383
314	175	382
315	176	381
316	176	380
317	176	378
318	176	377
319	177	376
320	177	375
321	177	374
322	177	372
323	178	371
324	178	370
325	178	369
326	178	368
327	179	367
328	179	365
329	179	364
330	179	363
331	180	362
332	180	361
333	180	360
334	180	359
335	181	358
336	181	356
337	181	355
338	181	354
339	182	353
340	182	352
341	182	351
342	182	350
343	183	349
344	183	348
345	183	347
346	183	345
347	184	344
348	184	343
349	184	342
350	184	341
351	185	340
352	185	339
353	185	338
354	185	337
355	186	336
356	186	335
357	186	334
358	186	333
359	187	332
360	187	331
361	187	330
362	187	329
363	188	328
364	188	327
365	188	326
366	188	325
367	189	324
368	189	323
369	189	322
370	189	321
371	190	320
372	190	319
373	190	319
374	190	318
375	191	317
376	191	316
377	191	315
378	191	314
379	192	313
380	192	312
381	192	311
382	192	310
383	193	309
384	193	308
385	193	307
386	193	307
387	194	306
388	194	305
389	194	304
390	194	303
391	195	302
392	195	301
393	195	300
394	195	299
395	196	299
396	196	298
397	196	297
398	196	296
399	197	295
400	197	294
401	197	293
402	197	293
403	198	292
404	198	291
405	198	290
406	198	289
407	199	288
408	199	287
409	199	287
410	199	286
411	199	285
412	200	284
413	200	283
414	200	282
415	200	282
416	201	281
417	201	280
418	201	279
419	201	278
420	202	277
421	202	277
422	202	276
423	202	275
424	203	274
425	203	273
426	203	273
427	203	272
428	204	271
429	204	270
430	204	269
431	204	269
432	204	268
433	205	267
434	205	266
435	205	266
436	205	265
437	206	264
438	206	263
439	206	262
440	206	262
441	207	261
442	207	260
443	207	260
444	207	259
445	208	258
446	208	257
447	208	257
448	208	256
449	209	255
450	209	254
451	209	254
452	209	253
453	210	252
454	210	252
455	210	251
456	210	250
457	211	249
458	211	249
459	211	248
460	211	247
461	212	247
462	212	246
463	212	245
464	212	244
465	213	244
466	213	243
467	213	242
468	213	242
469	214	241
470	214	240
471	214	240
472	214	239
473	215	238
474	215	238
475	215	237
476	215	236
477	216	236
478	216	235
479	216	234
480	216	234
481	217	233
482	217	232
483	217	232
484	217	231
485	218	230
486	218	230
487	218	229
488	218	228
489	219	228
490	219	227
491	219	226
492	219	226
493	220	225
494	220	224
495	220	224
496	220	223
497	221	222
498	221	222
499	221	221
500	221	220
501	222	220
502	222	219
503	222	219
504	222	218
505	223	217
506	223	217
507	223	216
508	223	215
509	224	215
510	224	214
511	224	214
512	224	213
513	225	212
514	225	212
515	225	211
516	225	210
517	226	210
518	226	209
519	226	209
520	226	208
521	227	207
522	227	207
523	227	206
524	227	206
525	228	205
526	228	204
527	228	204
528	228	203
529	229	203
530	229	202
531	229	201
532	229	201
533	229	200
534	230	200
535	230	199
536	230	198
537	230	198
538	231	197
539	231	197
540	231	196
541	231	195
542	232	195
543	232	194
544	232	194
545	232	193
546	233	193
547	233	192
548	233	191
549	233	191
550	234	190
551	234	190
552	234	189
553	234	189
554	235	188
555	235	187
556	235	187
557	235	186
558	236	186
559	236	185
560	236	185
561	236	184
562	237	183
563	237	183
564	237	182
565	237	182
566	237	181
567	238	181
568	238	180
569	238	180
570	238	179
571	239	179
572	239	178
573	239	177
574	239	177
575	240	176
576	240	176
577	240	175
578	240	175
579	241	174
580	241	174
581	241	173
582	241	173
583	242	172
584	242	171
585	242	171
586	242	170
587	243	170
588	243	169
589	243	169
590	243	168
591	244	168
592	244	167
593	244	167
594	244	166
595	245	166
596	245	165
597	245	165
598	245	164
599	246	164
600	246	163
601	246	163
602	246	162
603	247	161
604	247	161
605	247	160
606	247	160
607	248	159
608	248	159
609	248	158
610	248	158
611	249	157
612	249	157
613	249	156
614	249	156
615	250	155
616	250	155
617	250	154
618	250	154
619	251	153
620	251	153
621	251	152
622	251	152
623	252	151
624	252	151
625	252	150
626	252	150
627	253	149
628	253	149
629	253	148
630	253	148
631	253	147
632	254	147
633	254	146
634	254	146
635	254	145
636	255	145
637	255	144
638	255	144
639	255	143
640	256	143
641	256	143
642	256	142
643	256	142
644	257	141
645	257	141
646	257	140
647	257	140
648	258	139
649	258	139
650	258	138
651	258	138
652	259	137
653	259	137
654	259	136
655	260	136
656	260	135
657	260	135
658	260	134
659	260	134
660	261	133
661	261	133
662	261	133
663	261	132
664	262	132
665	262	131
666	262	131
667	262	130
668	263	130
669	263	129
670	263	129
671	264	128
672	264	128
673	264	127
674	264	127
675	264	126
676	265	126
677	265	126
678	265	125
679	265	125
680	266	124
681	266	124
682	266	123
683	266	123
684	267	122
685	267	122
686	267	121
687	267	121
688	268	121
689	268	120
690	268	120
691	268	119
692	269	119
693	269	118
694	269	118
695	269	117
696	270	117
697	270	116
698	270	116
699	270	116
700	271	115
701	271	115
702	271	114
703	271	114
704	272	113
705	272	113
706	272	112
707	272	112
708	273	112
709	273	111
710	273	111
711	273	110
712	274	110
713	274	109
714	274	109
715	274	108
716	275	108
717	275	108
718	275	107
719	275	107
720	276	106
721	276	106
722	276	105
723	276	105
724	276	105
725	277	104
726	277	104
727	277	103
728	277	103
729	278	102
730	278	102
731	278	102
732	278	101
733	279	101
734	279	100
735	279	100
736	279	99
737	280	99
738	280	99
739	280	98
740	280	98
741	281	97
742	281	97
743	281	96
744	281	96
745	282	96
746	282	95
747	282	95
748	282	94
749	283	94
750	283	93
751	283	93
752	283	93
753	284	92
754	284	92
755	284	91
756	284	91
757	285	91
758	285	90
759	285	90
760	285	89
761	286	89
762	286	88
763	286	88
764	286	88
765	287	87
766	287	87
767	287	86
768	287	86
769	288	86
770	288	85
771	288	85
772	288	84
773	289	84
774	289	84
775	289	83
776	289	83
777	290	82
778	290	82
779	290	81
780	290	81
781	291	81
782	291	80
783	291	80
784	291	79
785	292	79
786	292	79
787	292	78
788	292	78
789	292	77
790	293	77
791	293	77
792	293	76
793	293	76
794	294	75
795	294	75
796	294	75
797	294	74
798	295	74
799	295	73
800	295	73
801	296	73
802	296	72
803	296	72
804	296	71
805	297	71
806	297	71
807	297	70
808	297	70
809	297	69
810	298	69
811	298	69
812	298	68
813	298	68
814	299	67
815	299	67
816	299	67
817	299	66
818	300	66
819	300	65
820	300	65
821	300	65
822	301	64
823	301	64
824	301	64
